walk no 4 for Vertex 1: 1,0,0,0,1,1,1,2,1,0,2,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 4 for Vertex 2: 2,0,0,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 5 for Vertex 0: 0,1,1,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 5 for Vertex 1: 1,0,0,0,1,1,1,2,1,0,2,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 5 for Vertex 2: 2,0,0,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 6 for Vertex 0: 0,1,1,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 6 for Vertex 1: 1,0,0,0,1,1,1,2,1,0,2,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 6 for Vertex 2: 2,0,0,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 7 for Vertex 0: 0,1,1,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 7 for Vertex 1: 1,0,0,0,1,1,1,2,1,0,2,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 7 for Vertex 2: 2,0,0,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 8 for Vertex 0: 0,1,1,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 8 for Vertex 1: 1,0,0,0,1,1,1,2,1,0,2,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 8 for Vertex 2: 2,0,0,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 9 for Vertex 0: 0,1,1,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 9 for Vertex 1: 1,0,0,0,1,1,1,2,1,0,2,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 9 for Vertex 2: 2,0,0,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 10 for Vertex 0: 0,1,1,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 10 for Vertex 1: 1,0,0,0,1,1,1,2,1,0,2,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 10 for Vertex 2: 2,0,0,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 11 for Vertex 0: 0,1,1,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 11 for Vertex 1: 1,0,0,0,1,1,1,2,1,0,2,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 11 for Vertex 2: 2,0,0,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
